id,query,metric,hits,sessions
141301633,лопата,pdp_view,5,5
140723303,фигурки животных,pdp_view,5,5
147752804,радиоэлектроника,pdp_view,1,1
34709336,гель для душа 500мл,pdp_view,1,1
146083229,павел линицкий,pdp_view,2,2
138635335,бисер,pdp_view,1,1
147155651,сумка женская,pdp_view,8,4
139577059,зубная паста,pdp_view,18,10
143163981,нож для кухни,pdp_view,1,1
145707746,настя и никита,pdp_view,42,35
144054118,ресивер,pdp_view,3,2
30608120,лото детское,pdp_view,4,1
135393415,приправа на второе,pdp_view,1,1
147743868,внутренняя игра в теннис,pdp_view,1,1
147110992,чайник заварочный,pdp_view,3,3
31453509,книги для детей,pdp_view,2,1
147754811,шары елочные,pdp_view,1,1
145048112,носки,pdp_view,2,2
28640395,ганс христиан андерсен сказки,pdp_view,5,3
140475255,пряник тульский,pdp_view,1,1
33006415,33006415,pdp_view,11,11
146110008,беби калм,pdp_view,9,1
143924329,специи,pdp_view,6,2
141200547,41324,pdp_view,8,7
143463804,фигурка кошка,pdp_view,1,1
142025547,новогодние елочные игрушки,pdp_view,42,4
136092233,пеленки 30шт,pdp_view,2,1
136409204,faber castell,pdp_view,1,1
144845922,ecowoo,pdp_view,3,1
146999717,елочные игрушки,pdp_view,8,8
135162765,хлопушки,pdp_view,1,1
139467436,маша и медведь книга,pdp_view,8,2
136025175,капсулы для кофе,pdp_view,1,1
141498879,точилка,pdp_view,1,1
139163841,лезвие для philips,pdp_view,2,1
147092528,скетчпад фламинго,pdp_view,1,1
138591014,щелкунчик,pdp_view,5,4
145323630,стальэмаль,pdp_view,2,1
147605262,кухонные весы,pdp_view,1,1
137468303,соль для ванны,pdp_view,37,17
141371574,кисель,pdp_view,40,14
6309712,подгкзнтки,pdp_view,2,1
147360299,раскраски для детей,pdp_view,10,5
144019831,барби куклы,pdp_view,5,1
148246722,головоломки,pdp_view,1,1
140463887,барсукор,pdp_view,1,1
35059875,сумеречные охотники обитатели нижнего мира,pdp_view,1,1
18614947,dk,pdp_view,4,2
147958934,жожоба,pdp_view,1,1
147128756,математика 5 класс,pdp_view,1,1
144283549,женские сумки,pdp_view,6,1
145046307,сокровища музеев мира,pdp_view,2,2
23508968,мировая классика,pdp_view,1,1
146548260,развивающие игрушки,pdp_view,35,13
146743931,календарь,pdp_view,6,2
147710103,черное мыло,pdp_view,2,1
146442782,tescoma,pdp_view,1,1
140211873,energy en-613 лягушка увлажнитель воздуха,pdp_view,1,1
142769324,насадки для зубной щетки oral b,pdp_view,19,16
140835158,кетоконазол,pdp_view,9,9
136238625,порошок стиральный,pdp_view,18,3
143279850,пинцет,pdp_view,1,1
136660219,фартук для труда,pdp_view,21,19
143273321,зубочистки,pdp_view,45,40
146266668,fisher price,pdp_view,15,10
20167388,динозавры фигурки,pdp_view,1,1
143708281,ванночка детская,pdp_view,10,10
145755753,аромо мания,pdp_view,6,1
143777900,оберточная бумага,pdp_view,6,6
34362320,кофе растворимое,pdp_view,1,1
147475965,лак акриловый,pdp_view,1,1
140558342,бисер наборы,pdp_view,1,1
146781712,порошок стиральный,pdp_view,7,6
142552493,кухонные полотенца,pdp_view,5,1
141200540,лего френдс,pdp_view,13,12
147472049,сумки  на плечё мужские,pdp_view,8,1
140400267,складной стол,pdp_view,3,1
147108045,халва,pdp_view,6,5
146733305,магнитное ожерелье,pdp_view,1,1
146032984,гель для душа,pdp_view,15,15
141371531,удлинитель сетевой,pdp_view,7,6
147142272,игрушки,pdp_view,1,1
137803448,пакеты для продуктов,pdp_view,24,16
147825446,crocs,pdp_view,1,1
144926854,fifa,pdp_view,1,1
136411540,faber,pdp_view,2,1
140309995,скажи волкам что я дома,pdp_view,19,14
140174103,тыквенные семечки,pdp_view,10,5
136532919,маленький гений обучающие карточки,pdp_view,10,2
146322067,paw patrol игровой набор,pdp_view,5,3
139798559,бластер нерф,pdp_view,22,19
143452840,миндальная,pdp_view,1,1
34889559,миска для кошек,pdp_view,6,4
147766832,пауэрбанк,pdp_view,4,1
137512974,шампунь детский,pdp_view,29,24
140539121,тарелка,pdp_view,2,2
136183254,постельное белье 1 5 спальное,pdp_view,3,3
140540096,деревянная заготовка,pdp_view,2,2
143337954,little hero,pdp_view,10,6
138554549,муфта для рук на коляску,pdp_view,32,7
138693542,аппликация,pdp_view,3,3
136522947,волшебная палочка,pdp_view,20,14
138491550,для рассады,pdp_view,1,1
144544473,туфли женские,pdp_view,4,2
